"nuts2_code","year","urban_coverage%"
"CZ0",2018,4.4
"CZ01",2018,25.9
"CZ02",2018,5
"CZ03",2018,3.4
"CZ04",2018,5.3
"CZ05",2018,3.8
"CZ06",2018,3.4
"CZ07",2018,5
"CZ08",2018,5.5
"DE",2018,7.6
"DE1",2018,8.2
"DE11",2018,9.9
"DE12",2018,10.7
"DE13",2018,5.2
"DE14",2018,7.3
"DE2",2018,6.8
"DE21",2018,7.7
"DE22",2018,5.8
"DE23",2018,5.5
"DE24",2018,6.4
"DE25",2018,6.9
"DE26",2018,8.3
"DE27",2018,6.7
"DE3",2018,29.8
"DE30",2018,29.8
"DE4",2018,4.5
"DE40",2018,4.5
"DE5",2018,36.2
"DE50",2018,36.2
"DE6",2018,27.3
"DE60",2018,27.3
"DE7",2018,8.3
"DE71",2018,11.2
"DE72",2018,6.9
"DE73",2018,6.7
"DE8",2018,3.4
"DE80",2018,3.4
"DE9",2018,7.3
"DE91",2018,7.1
"DE92",2018,7.1
"DE93",2018,5.9
"DE94",2018,9.2
"DEA",2018,14.4
"DEA1",2018,20.6
"DEA2",2018,12.9
"DEA3",2018,15.3
"DEA4",2018,10.3
"DEA5",2018,14.2
"DEB",2018,7.8
"DEB1",2018,5.6
"DEB2",2018,5.5
"DEB3",2018,12.2
"DEC",2018,10.7
"DEC0",2018,10.7
"DED",2018,7.2
"DED2",2018,6.5
"DED4",2018,6.2
"DED5",2018,10.1
"DEE",2018,5.9
"DEE0",2018,5.9
"DEF",2018,7.4
"DEF0",2018,7.4
"DEG",2018,5.2
"DEG0",2018,5.2
"DK",2018,6.9
"DK0",2018,6.9
"DK01",2018,14.2
"DK02",2018,7.9
"DK03",2018,6.8
"DK04",2018,5.6
"DK05",2018,5.7
"EE",2018,1.7
"EE0",2018,1.7
"EE00",2018,1.7
"EL",2018,4
"EL3",2018,17.4
"EL30",2018,17.4
"EL4",2018,4.1
"EL41",2018,4.5
"EL42",2018,4.4
"EL43",2018,3.7
"EL5",2018,3.3
"EL51",2018,2.7
"EL52",2018,5
"EL53",2018,2.3
"EL54",2018,1.5
"EL6",2018,3.9
"EL61",2018,3.1
"EL62",2018,6.9
"EL63",2018,4
"EL64",2018,3.2
"EL65",2018,4.7
"ES",2018,3.7
"ES1",2018,4.5
"ES11",2018,5
"ES12",2018,3.3
"ES13",2018,3.8
"ES2",2018,3
"ES21",2018,5.9
"ES22",2018,3.8
"ES23",2018,2.7
"ES24",2018,2.3
"ES3",2018,11.7
"ES30",2018,11.7
"ES4",2018,2.5
"ES41",2018,2.7
"ES42",2018,2.5
"ES43",2018,2.4
"ES5",2018,6.3
"ES51",2018,5.3
"ES52",2018,7.2
"ES53",2018,9.1
"ES6",2018,4.2
"ES61",2018,3.8
"ES62",2018,7.1
"EU27_2007",2018,4.4
"EU27_2020",2018,4.2
"EU28",2018,4.4
"EU_V",2018,4.5
"FI",2018,1.7
"FI1",2018,1.7
"FI19",2018,2.2
"FI1B",2018,5.5
"FI1C",2018,3.3
"FI1D",2018,1.1
"FI2",2018,1.3
"FI20",2018,1.3
"FR",2018,5.6
"FR1",2018,14.5
"FR10",2018,14.5
"FRB",2018,3.7
"FRB0",2018,3.7
"FRC",2018,3.7
"FRC1",2018,3.6
"FRC2",2018,4
"FRD",2018,6.5
"FRD1",2018,6.6
"FRD2",2018,6.3
"FRE",2018,7.5
"FRE1",2018,9
"FRE2",2018,6.5
"FRF",2018,5.4
"FRF1",2018,8.9
"FRF2",2018,4.2
"FRF3",2018,5.6
"FRG",2018,7.4
"FRG0",2018,7.4
"FRH",2018,7.7
"FRH0",2018,7.7
"FRI",2018,5.1
"FRI1",2018,5
"FRI2",2018,4.3
"FRI3",2018,5.8
"FRJ",2018,4.8
"FRJ1",2018,5.5
"FRJ2",2018,4.3
"FRK",2018,5.5
"FRK1",2018,4.3
"FRK2",2018,6.2
"FRL",2018,5.8
"FRL0",2018,5.8
"FRM",2018,3.4
"FRM0",2018,3.4
"HR",2018,3.2
"HR0",2018,3.2
"HR03",2018,2.5
"HR04",2018,3.7
"HU",2018,4
"HU1",2018,9.8
"HU11",2018,56
"HU12",2018,6
"HU2",2018,3.7
"HU21",2018,4.4
"HU22",2018,4
"HU23",2018,2.9
"HU3",2018,3.5
"HU31",2018,3
"HU32",2018,4
"HU33",2018,3.3
"IE",2018,4.2
"IE0",2018,4.2
"IE04",2018,2.8
"IE05",2018,5.1
"IE06",2018,5
"IT",2018,6.6
"ITC",2018,7.8
"ITC1",2018,6.3
"ITC2",2018,2.5
"ITC3",2018,4.5
"ITC4",2018,10.8
"ITF",2018,6.3
"ITF1",2018,5.1
"ITF2",2018,4.3
"ITF3",2018,10.4
"ITF4",2018,6.7
"ITF5",2018,3.5
"ITF6",2018,5.4
"ITG",2018,4.9
"ITG1",2018,5.7
"ITG2",2018,4.1
"ITH",2018,7.1
"ITH1",2018,2.4
"ITH2",2018,2.9
"ITH3",2018,9.4
"ITH4",2018,5.4
"ITH5",2018,8.5
"ITI",2018,6.5
"ITI1",2018,5.8
"ITI2",2018,5.2
"ITI3",2018,7.2
"ITI4",2018,7.7
"LT",2018,2.1
"LT0",2018,2.1
"LT01",2018,2.4
"LT02",2018,2.1
"LU",2018,7.4
"LU0",2018,7.4
"LU00",2018,7.4
"LV",2018,1.7
"LV0",2018,1.7
"LV00",2018,1.7
"MT",2018,27.5
"MT0",2018,27.5
"MT00",2018,27.5
"NL",2018,12.6
"NL1",2018,6.6
"NL11",2018,9.1
"NL12",2018,5.2
"NL13",2018,6.5
"NL2",2018,9.6
"NL21",2018,9.8
"NL22",2018,11.9
"NL23",2018,4.5
"NL3",2018,17.9
"NL31",2018,18.4
"NL32",2018,16.6
"NL33",2018,23.5
"NL34",2018,10.7
"NL4",2018,17.2
"NL41",2018,17.1
"NL42",2018,17.5
"PL",2018,3.6
"PL2",2018,5.9
"PL21",2018,4.2
"PL22",2018,8.1
"PL4",2018,3.3
"PL41",2018,4.1
"PL42",2018,2.4
"PL43",2018,2.8
"PL5",2018,3.3
"PL51",2018,3.9
"PL52",2018,2.1
"PL6",2018,3.3
"PL61",2018,3.4
"PL62",2018,3.1
"PL63",2018,3.4
"PL7",2018,4
"PL71",2018,4.2
"PL72",2018,3.6
"PL8",2018,2.9
"PL81",2018,2.6
"PL82",2018,2.9
"PL84",2018,3.1
"PL9",2018,4.2
"PL91",2018,9.8
"PL92",2018,3
"PT",2018,6.4
"PT1",2018,6.4
"PT11",2018,9.4
"PT15",2018,6
"PT16",2018,6.9
"PT17",2018,18.9
"PT18",2018,2.8
"RO",2018,2.8
"RO1",2018,2.5
"RO11",2018,2.5
"RO12",2018,2.5
"RO2",2018,2.7
"RO21",2018,2.7
"RO22",2018,2.7
"RO3",2018,4.3
"RO31",2018,3.7
"RO32",2018,16.5
"RO4",2018,2.5
"RO41",2018,2.5
"RO42",2018,2.6
"SE",2018,1.8
"SE1",2018,3.6
"SE11",2018,8.3
"SE12",2018,2.8
"SE2",2018,3.5
"SE21",2018,2.7
"SE22",2018,5.4
"SE23",2018,3.6
"SE3",2018,1
"SE31",2018,1.9
"SE32",2018,0.9
"SE33",2018,0.7
"SI",2018,4.3
"SI0",2018,4.3
"SI03",2018,4.5
"SI04",2018,4.1
"SK",2018,3.4
"SK0",2018,3.4
"SK01",2018,4.6
"SK02",2018,4.9
"SK03",2018,2.4
"SK04",2018,2.9
"UK",2018,6.4
"UKC",2018,8.2
"UKC1",2018,11.2
"UKC2",2018,6.6
"UKD",2018,9.8
"UKD1",2018,2.8
"UKD3",2018,31.5
"UKD4",2018,10.8
"UKD6",2018,10.3
"UKD7",2018,31.5
"UKE",2018,8.8
"UKE1",2018,7.2
"UKE2",2018,3.8
"UKE3",2018,22.5
"UKE4",2018,21.4
"UKF",2018,7.3
"UKF1",2018,8.7
"UKF2",2018,8.8
"UKF3",2018,4.9
"UKG",2018,9.7
"UKG1",2018,7.7
"UKG2",2018,7
"UKG3",2018,41.5
"UKH",2018,7.9
"UKH1",2018,5.9
