Substance	ISO	Country	Subnational code *	Subnational desc	Sector	Y_2017	Y_2018	Y_2019	Y_2020	Y_2021	Y_2022	Y_2023
GWP_100_AR5_GHG	ALB	Albania	AL03	Jug	Industry	403,5771135	363,1247837	363,7057197	334,2925004	269,4588583	332,8817401	244,5571787
GWP_100_AR5_GHG	ALB	Albania	AL03	Jug	Transport	1024,138032	985,3888377	966,3982976	665,8742754	761,7235473	726,5392883	737,3969561
GWP_100_AR5_GHG	ALB	Albania	AL03	Jug	Waste	125,9315968	123,8537663	126,6583497	128,6871221	130,9593326	133,2775889	132,5761323
GWP_100_AR5_GHG	ALB	Albania	N/A		Dom_Avi							
GWP_100_AR5_GHG	ALB	Albania	N/A		Dom_Ship	111,2087032	94,15518701	115,1070572	105,3001567	111,7051949	109,1067264	99,60205245
GWP_100_AR5_GHG	ANT	Curaçao	N/A		Agriculture	7,181284905	7,187499153	7,230648079	7,272818371	7,295282504	7,310179526	7,325519049
GWP_100_AR5_GHG	ANT	Curaçao	N/A		Buildings	146,7266776	145,8109773	143,9289008	142,1166924	139,3664028	137,5354678	144,2253113
GWP_100_AR5_GHG	ANT	Curaçao	N/A		Energy	564,0831191	491,9962274	545,6786829	446,5072612	532,0945096	535,8007385	561,883292
GWP_100_AR5_GHG	ANT	Curaçao	N/A		Indirect	30,50801798	26,91311238	23,70576962	19,19141231	21,03270488	21,90021074	23,01510104
GWP_100_AR5_GHG	ANT	Curaçao	N/A		Industry	1985,483847	1298,371137	540,1601436	439,2462407	457,8835484	484,8845598	505,272699
GWP_100_AR5_GHG	ANT	Curaçao	N/A		Transport	1387,832697	1359,099824	1309,622114	1049,581975	1136,284878	1191,507316	1249,490829
GWP_100_AR5_GHG	ANT	Curaçao	N/A		Waste	39,49694101	39,85887845	40,07750176	40,29644791	40,46231575	40,68163046	40,93156023
GWP_100_AR5_GHG	ARE	United Arab Emirates	N/A		Agriculture	1921,981703	1931,429341	1952,489304	1974,809764	2001,921024	2124,808804	2165,298438
GWP_100_AR5_GHG	ARE	United Arab Emirates	N/A		Buildings	1021,508918	817,2766233	581,94941	547,44402	687,3315057	793,1650377	814,6073766
GWP_100_AR5_GHG	ARE	United Arab Emirates	N/A		Dom_Avi	1092,880103	1155,527404	1169,449907	991,5948846	1152,744345	1695,75093	1878,952208
GWP_100_AR5_GHG	ARE	United Arab Emirates	N/A		Energy	71875,28048	70839,96347	70026,07411	68632,3569	70839,30042	68857,94932	65432,90073
GWP_100_AR5_GHG	ARE	United Arab Emirates	N/A		Indirect	669,6918229	583,6204499	628,8549422	628,4596757	658,7565088	690,3761729	697,6125992
GWP_100_AR5_GHG	ARE	United Arab Emirates	N/A		Industry	133942,898	119596,1883	135397,7471	139529,3997	139082,5189	145423,6228	147539,9476
GWP_100_AR5_GHG	ARE	United Arab Emirates	N/A		Transport	36995,99571	36922,63609	35003,64598	30068,14398	35514,94688	40855,64638	41981,9591
GWP_100_AR5_GHG	ARE	United Arab Emirates	N/A		Waste	6596,850188	6716,732976	6830,373252	6951,525464	7027,361234	7191,609583	7311,915755
GWP_100_AR5_GHG	ARG	Argentina	N/A		Agriculture	139504,8006	139479,5191	141954,9027	141688,0749	139834,8664	142160,233	141697,2567
GWP_100_AR5_GHG	ARG	Argentina	N/A		Buildings	41732,34894	39865,39613	38827,30061	37460,79	41130,32229	42646,95433	41265,37851
GWP_100_AR5_GHG	ARG	Argentina	N/A		Dom_Avi	1697,969066	1820,620417	1875,154751	625,5154805	669,1842173	1320,965981	1549,255373
GWP_100_AR5_GHG	ARG	Argentina	N/A		Dom_Ship	789,5320265	884,158481	981,25991	1200,480608	1393,121962	827,5475192	925,2334272
GWP_100_AR5_GHG	ARG	Argentina	N/A		Energy	50926,40349	47208,34882	40123,85812	39166,41353	47219,39941	45396,04076	39528,83593
GWP_100_AR5_GHG	ARG	Argentina	N/A		Indirect	1055,900321	977,2295913	929,2417685	1044,480959	992,8415505	1194,617504	906,3059432
GWP_100_AR5_GHG	ARG	Argentina	N/A		Industry	73231,02442	76806,68854	79893,83913	78762,77348	79821,0439	82203,02961	82925,90352
GWP_100_AR5_GHG	ARG	Argentina	N/A		Transport	44862,66762	46008,49821	45535,69149	36660,04803	45777,93386	48048,73556	45865,23828
GWP_100_AR5_GHG	ARG	Argentina	N/A		Waste	10673,10129	10768,53514	10804,98475	10703,79549	10775,26586	10963,13964	11021,21095
GWP_100_AR5_GHG	ARM	Armenia	N/A		Agriculture	1977,309623	1814,561718	1796,575145	1798,023205	1846,930847	1737,981332	1744,351375
GWP_100_AR5_GHG	ARM	Armenia	N/A		Buildings	1888,531569	1717,160408	2083,836634	2275,592153	2411,10344	2295,243029	2478,228818
GWP_100_AR5_GHG	ARM	Armenia	N/A		Energy	1240,862789	1486,304573	1355,514383	1426,150568	1628,982919	1541,934461	1676,676434
GWP_100_AR5_GHG	ARM	Armenia	N/A		Indirect	20,99089793	22,71259324	24,63989383	27,61997954	28,43592312	28,64507213	29,26854553
GWP_100_AR5_GHG	ARM	Armenia	N/A		Industry	1534,513374	1605,313927	1587,651199	1638,797488	1815,72145	1798,860321	1847,394997
GWP_100_AR5_GHG	ARM	Armenia	N/A		Transport	1717,050872	1859,053223	2122,409978	2322,373576	2431,035538	2448,251219	2541,831695
GWP_100_AR5_GHG	ARM	Armenia	N/A		Waste	488,8453663	490,0390384	500,8294143	505,0800148	509,1662946	513,6227856	518,5850867
GWP_100_AR5_GHG	ASM	American Samoa	N/A		Agriculture	4,969582538	4,971385652	4,975671406	4,982100038	5,000046634	5,006706967	5,013380441
GWP_100_AR5_GHG	ASM	American Samoa	N/A		Industry	0,38462537	0,38488805	0,385219856	0,385717565	0,387107003	0,387107003	0,387107003
GWP_100_AR5_GHG	ASM	American Samoa	N/A		Waste	3,069102951	3,0748605	3,089378189	3,105251937	3,129731524	3,138234761	3,146873146
GWP_100_AR5_GHG	ATG	Antigua and Barbuda	N/A		Agriculture	22,14138351	21,05894412	18,1432093	17,43079096	16,89579208	16,39108623	15,24492075
GWP_100_AR5_GHG	ATG	Antigua and Barbuda	N/A		Buildings	23,09864694	27,04192633	31,83906757	23,35465417	25,43939264	25,26525137	26,4947527
GWP_100_AR5_GHG	ATG	Antigua and Barbuda	N/A		Dom_Avi	11,76562292	10,57082681	15,65623668	6,888735375	7,660412235	10,81828909	12,68790623
GWP_100_AR5_GHG	ATG	Antigua and Barbuda	N/A		Dom_Ship	5,846695884	6,142353429	7,005966763	6,072430986	6,583663337	6,6941638	7,484360682
GWP_100_AR5_GHG	ATG	Antigua and Barbuda	N/A		Energy	132,9118405	143,6199201	163,8731247	142,4093275	154,6905859	153,6316708	161,1080002
GWP_100_AR5_GHG	ATG	Antigua and Barbuda	N/A		Indirect	3,160239328	3,41175832	3,915396099	3,269893613	3,584888135	3,579103389	3,772352474
GWP_100_AR5_GHG	ATG	Antigua and Barbuda	N/A		Industry	21,82140212	19,94534413	20,09469389	17,57489921	22,30521356	22,15143349	23,15177935
GWP_100_AR5_GHG	ATG	Antigua and Barbuda	N/A		Transport	84,11588349	90,28059732	104,8868927	82,07129084	91,22147459	90,59708625	95,00585131
GWP_100_AR5_GHG	ATG	Antigua and Barbuda	N/A		Waste	40,86968313	41,39671811	41,81599055	42,24174361	42,66766126	43,14158646	43,60624778
GWP_100_AR5_GHG	AUS	Australia	N/A		Agriculture	114752,2275	111420,6562	105020,3173	102486,8867	111039,0523	112623,3075	115132,894
GWP_100_AR5_GHG	AUS	Australia	N/A		Buildings	22414,25889	22349,12819	20722,44792	20287,10735	22621,51838	21930,20105	21771,81183
GWP_100_AR5_GHG	AUS	Australia	N/A		Dom_Avi	9335,805665	9515,419435	8910,021593	7157,392867	4926,600252	6266,676892	8256,110874
GWP_100_AR5_GHG	AUS	Australia	N/A		Dom_Ship	1875,536223	2001,177657	2148,947976	2197,928117	2130,326783	2288,122677	2211,788731
GWP_100_AR5_GHG	AUS	Australia	N/A		Energy	200494,0424	193022,8233	189037,5343	180530,6727	172829,2478	161942,793	156195,1109
GWP_100_AR5_GHG	AUS	Australia	N/A		Indirect	2135,527704	2477,912599	3306,628541	2395,831994	1986,982725	1965,150659	2339,479576
GWP_100_AR5_GHG	AUS	Australia	N/A		Industry	164440,7479	169464,602	178782,087	173946,6307	170311,4201	166909,0878	166208,8845
GWP_100_AR5_GHG	AUS	Australia	N/A		Transport	85384,35542	87486,71914	87721,60959	82824,56272	82208,4878	82369,17557	87025,05895
GWP_100_AR5_GHG	AUS	Australia	N/A		Waste	12597,74645	13582,88479	13520,21502	12744,46067	12684,19763	12715,78287	12698,70917
GWP_100_AR5_GHG	AUT	Austria	AT11	Burgenland	Agriculture	301,9198781	295,7821365	300,1571931	298,9065009	290,8337008	287,4060569	285,7722041
GWP_100_AR5_GHG	AUT	Austria	AT11	Burgenland	Buildings	336,2057112	303,5676481	308,5604682	310,7697232	344,3193351	293,6638262	274,1813961
GWP_100_AR5_GHG	AUT	Austria	AT11	Burgenland	Energy	319,3005175	295,470037	296,800789	289,3967859	332,6158482	310,7488227	293,5403912
GWP_100_AR5_GHG	AUT	Austria	AT11	Burgenland	Indirect	7,649597647	7,28475049	7,0358489	6,192745965	6,314281185	5,724590419	5,351119094
GWP_100_AR5_GHG	AUT	Austria	AT11	Burgenland	Industry	282,4931924	291,0741246	283,5797178	267,7844729	267,8763737	262,655118	254,3785925
GWP_100_AR5_GHG	AUT	Austria	AT11	Burgenland	Transport	1238,614145	1250,140054	1251,520782	1095,098961	1124,676191	1065,465468	1062,388281
GWP_100_AR5_GHG	AUT	Austria	AT11	Burgenland	Waste	60,96061046	65,0734519	66,12639024	66,10687754	68,21715446	70,43253381	74,28225376
GWP_100_AR5_GHG	AUT	Austria	AT12	Niederösterreich	Agriculture	2133,398213	2089,49581	2094,941462	2082,76353	2052,521714	2036,526541	2029,55171
GWP_100_AR5_GHG	AUT	Austria	AT12	Niederösterreich	Buildings	1923,511555	1743,773699	1779,076542	1784,8625	1988,874695	1686,513192	1587,226332
GWP_100_AR5_GHG	AUT	Austria	AT12	Niederösterreich	Energy	4502,619537	4216,751997	4150,329982	2832,647757	3375,915596	3096,107994	2895,384721
GWP_100_AR5_GHG	AUT	Austria	AT12	Niederösterreich	Indirect	53,70120452	51,13992839	49,39260575	43,47390973	44,32710332	40,18739482	37,56557588
GWP_100_AR5_GHG	AUT	Austria	AT12	Niederösterreich	Industry	6024,890752	5986,41074	6637,134742	5766,873584	5674,201306	5198,50982	5210,180308
GWP_100_AR5_GHG	AUT	Austria	AT12	Niederösterreich	Transport	6960,062045	7029,177057	7043,629796	6171,477452	6342,726179	6008,765324	5996,688949
GWP_100_AR5_GHG	AUT	Austria	AT12	Niederösterreich	Waste	502,400372	530,9559405	539,4195664	538,6885662	556,0865153	574,3944526	591,2919644
GWP_100_AR5_GHG	AUT	Austria	AT13	Wien	Agriculture	16,34818276	15,95313859	16,31430444	16,22524662	15,63793509	15,41404511	15,2885947
GWP_100_AR5_GHG	AUT	Austria	AT13	Wien	Buildings	1752,806283	1670,614524	1709,160057	1721,75796	1936,696078	1612,795883	1548,872524
GWP_100_AR5_GHG	AUT	Austria	AT13	Wien	Energy	2167,005574	1858,838827	1971,070866	1647,779097	2059,444993	1811,535984	1619,911876
GWP_100_AR5_GHG	AUT	Austria	AT13	Wien	Indirect	0,942668259	0,897707746	0,867035331	0,763138837	0,778115755	0,705447519	0,65942424
GWP_100_AR5_GHG	AUT	Austria	AT13	Wien	Industry	678,3851728	663,3111286	646,399298	610,6072633	607,3155415	593,0723139	537,1972364
GWP_100_AR5_GHG	AUT	Austria	AT13	Wien	Transport	523,6926875	527,5383035	527,0392413	459,9303733	471,4368284	446,6335879	444,4861281
GWP_100_AR5_GHG	AUT	Austria	AT13	Wien	Waste	172,2542626	175,9618339	178,5128371	178,119202	183,2031288	188,6116598	186,9910565
GWP_100_AR5_GHG	AUT	Austria	AT21	Kärnten	Agriculture	615,6192245	604,7385655	599,0490639	594,2572869	593,8290764	592,7913425	591,9677048
GWP_100_AR5_GHG	AUT	Austria	AT21	Kärnten	Buildings	703,3442902	631,6182352	647,864922	644,9733913	718,9404701	603,978625	558,2665098
GWP_100_AR5_GHG	AUT	Austria	AT21	Kärnten	Energy	244,2902372	226,0580283	227,0761592	221,4115092	254,477522	237,7475119	224,5816962
GWP_100_AR5_GHG	AUT	Austria	AT21	Kärnten	Indirect	19,41153633	18,48570413	17,85409414	15,71464525	16,02305171	14,52665879	13,57894199
GWP_100_AR5_GHG	AUT	Austria	AT21	Kärnten	Industry	1537,227158	1600,641828	1518,434302	1505,31208	1556,816307	1491,875811	1418,031731
GWP_100_AR5_GHG	AUT	Austria	AT21	Kärnten	Transport	2764,883269	2791,04038	2794,679621	2446,00575	2512,486998	2380,359765	2373,940661
GWP_100_AR5_GHG	AUT	Austria	AT21	Kärnten	Waste	125,4355794	133,2209175	135,4603256	135,3261736	140,0238091	144,9408458	148,173471
GWP_100_AR5_GHG	AUT	Austria	AT22	Steiermark	Agriculture	1227,132548	1207,772754	1198,919885	1192,490709	1189,815945	1181,064947	1179,373958
GWP_100_AR5_GHG	AUT	Austria	AT22	Steiermark	Buildings	1414,613357	1283,114612	1308,193704	1316,47183	1464,989788	1237,736201	1152,022332
